frame,shoulders,hips,left,right,diagonal_left,diagonal_right
50,0.24170825,0.13680856,0.45729458,0.4666581,0.48813573,0.5047034
51,0.24177358,0.13691613,0.45726556,0.46714956,0.48812878,0.5052038
52,0.24183829,0.1369695,0.4573835,0.46713305,0.48795322,0.5055107
53,0.24186234,0.13687344,0.4569378,0.467437,0.48791444,0.50537825
54,0.24199118,0.13699518,0.454615,0.4647872,0.48591554,0.5028542
55,0.2420134,0.13672817,0.45769984,0.4711156,0.49280846,0.50463015
56,0.24202181,0.13687481,0.45837706,0.4700109,0.4921639,0.5049561
57,0.24202801,0.13652483,0.46006644,0.4667861,0.4912561,0.5042765
58,0.24175936,0.13623916,0.46035373,0.4656982,0.49062356,0.50394547
59,0.24124601,0.13672034,0.45887288,0.4652969,0.48919442,0.50370216
60,0.24069245,0.13626364,0.45936453,0.4651951,0.4891722,0.50371176
61,0.23996064,0.1363007,0.4593602,0.46536282,0.48904154,0.5038089
62,0.23936391,0.13571079,0.45859927,0.46617937,0.48928604,0.503181
63,0.23818395,0.13451514,0.45706266,0.4655031,0.48715532,0.5023355
64,0.23649973,0.13385804,0.4543331,0.46404836,0.4838227,0.50096536
65,0.23884511,0.1368034,0.45017865,0.4634032,0.48218933,0.5001768
66,0.23804975,0.13683224,0.44987568,0.4626595,0.4834525,0.49777508
67,0.23290828,0.1353345,0.45784134,0.4552494,0.49228358,0.48740852
68,0.22752325,0.1329215,0.46619844,0.4539352,0.4968986,0.48670256
69,0.22211272,0.13086174,0.47055185,0.453993,0.4991541,0.48613143
70,0.2190624,0.12956719,0.46610954,0.45417064,0.49739096,0.48252544
71,0.21914768,0.12901185,0.46926045,0.453653,0.4990482,0.4830802
72,0.22197372,0.13120124,0.47195137,0.4542157,0.50247896,0.4843907
73,0.2308051,0.13184464,0.45653948,0.45526958,0.4883156,0.48796093
74,0.23087332,0.13310246,0.45893866,0.45916334,0.48779202,0.49494502
75,0.23253451,0.1336746,0.46016046,0.4612053,0.4879575,0.49851674
76,0.2338086,0.1322685,0.46054906,0.46338168,0.48793852,0.5005938
77,0.23461837,0.13317803,0.45979366,0.46307856,0.48723203,0.5009474
78,0.23504144,0.13402231,0.45681772,0.46153522,0.4839995,0.5004431
79,0.2355565,0.1354663,0.45466962,0.45885837,0.48111433,0.49962276
80,0.23671147,0.13736758,0.45361358,0.46211678,0.48082906,0.5031387
81,0.23743117,0.13792904,0.45332527,0.46386206,0.48081002,0.5049517
82,0.23800825,0.13812369,0.45073304,0.4647719,0.47857565,0.505811
83,0.23902075,0.13811508,0.4506618,0.4654172,0.47858658,0.5065962
84,0.23957871,0.1385684,0.45077136,0.46603,0.47892147,0.5073005
85,0.24026255,0.13938197,0.44919947,0.4664379,0.47737226,0.50829077
86,0.24057858,0.13957296,0.4490105,0.46702364,0.4766134,0.50954556
87,0.24070078,0.13945208,0.4492816,0.46863976,0.47706586,0.51079816
88,0.2408263,0.13936023,0.4493059,0.4686132,0.4772108,0.5106504
89,0.2415067,0.13950709,0.4491652,0.46869346,0.47742176,0.5106529
90,0.24173006,0.139488,0.44986075,0.469078,0.47799462,0.51114047
91,0.2417966,0.13897593,0.45269963,0.47147742,0.48126957,0.51255447
92,0.24168283,0.1374999,0.45394748,0.4715012,0.48238605,0.51192003
93,0.241663,0.13731346,0.4547593,0.47162434,0.48326218,0.5118422
94,0.24170639,0.13647623,0.45585907,0.4719289,0.48435718,0.5116912
95,0.24162422,0.13646418,0.45705977,0.47259957,0.4855407,0.51223737
96,0.24200954,0.13657506,0.458442,0.4738783,0.48701394,0.5134094
97,0.24214357,0.13655484,0.45911708,0.47454536,0.48820335,0.51352024
98,0.24243502,0.1371001,0.4608448,0.47539356,0.4896425,0.51482826
99,0.24260738,0.13706127,0.46232778,0.47681302,0.49124306,0.5159712
100,0.24314763,0.1381129,0.4642791,0.4776455,0.493231,0.5172464
101,0.24307406,0.13752905,0.4675054,0.47963908,0.4961385,0.518931
102,0.24307081,0.13792844,0.4704978,0.48077056,0.49875215,0.52037585
